Block1,Block2,Unicode,ConTeXt name,Chart
0000,007F,Basic Latin,basiclatin,U0000.pdf
0080,00FF,Latin-1 Supplement,latinsupplement,U0080.pdf
0100,017F,Latin Extended-A,latinextendeda,U0100.pdf
0180,024F,Latin Extended-B,latinextendedb,U0180.pdf
0250,02AF,IPA Extensions,ipaextensions,U0250.pdf
02B0,02FF,Spacing Modifier Letters,spacingmodifierletters,U02B0.pdf
0300,036F,Combining Diacritical Marks,combiningdiacriticalmarks,U0300.pdf
0370,03FF,Greek and Coptic,greekandcoptic,U0370.pdf
0400,04FF,Cyrillic,cyrillic,U0400.pdf
0500,052F,Cyrillic Supplement,cyrillicsupplement,U0500.pdf
0530,058F,Armenian,armenian,U0530.pdf
0590,05FF,Hebrew,hebrew,U0590.pdf
0600,06FF,Arabic,arabic,U0600.pdf
0700,074F,Syriac,syriac,U0700.pdf
0750,077F,Arabic Supplement,arabicsupplement,U0750.pdf
0780,07BF,Thaana,thaana,U0780.pdf
07C0,07FF,NKo,nko,U07C0.pdf
0800,083F,Samaritan,samaritan,U0800.pdf
0840,085F,Mandaic,mandaic,U0840.pdf
0860,086F,Syriac Supplement,syriacsupplement,U0860.pdf
08A0,08FF,Arabic Extended-A,arabicextendeda,U08A0.pdf
0900,097F,Devanagari,devanagari,U0900.pdf
0980,09FF,Bengali,bengali,U0980.pdf
0A00,0A7F,Gurmukhi,gurmukhi,U0A00.pdf
0A80,0AFF,Gujarati,gujarati,U0A80.pdf
0B00,0B7F,Oriya,oriya,U0B00.pdf
0B80,0BFF,Tamil,tamil,U0B80.pdf
0C00,0C7F,Telugu,telugu,U0C00.pdf
0C80,0CFF,Kannada,kannada,U0C80.pdf
0D00,0D7F,Malayalam,malayalam,U0D00.pdf
0D80,0DFF,Sinhala,sinhala,U0D80.pdf
0E00,0E7F,Thai,thai,U0E00.pdf
0E80,0EFF,Lao,lao,U0E80.pdf
0F00,0FFF,Tibetan,tibetan,U0F00.pdf
1000,109F,Myanmar,myanmar,U1000.pdf
10A0,10FF,Georgian,georgian,U10A0.pdf
1100,11FF,Hangul Jamo,hanguljamo,U1100.pdf
1200,137F,Ethiopic,ethiopic,U1200.pdf
1380,139F,Ethiopic Supplement,ethiopicsupplement,U1380.pdf
13A0,13FF,Cherokee,cherokee,U13A0.pdf
1400,167F,Unified Canadian Aboriginal Syllabics,unifiedcanadianaboriginalsyllabics,U1400.pdf
1680,169F,Ogham,ogham,U1680.pdf
16A0,16FF,Runic,runic,U16A0.pdf
1700,171F,Tagalog,tagalog,U1700.pdf
1720,173F,Hanunoo,hanunoo,U1720.pdf
1740,175F,Buhid,buhid,U1740.pdf
1760,177F,Tagbanwa,tagbanwa,U1760.pdf
1780,17FF,Khmer,khmer,U1780.pdf
1800,18AF,Mongolian,mongolian,U1800.pdf
18B0,18FF,Unified Canadian Aboriginal Syllabics Extended,unifiedcanadianaboriginalsyllabicsextended,U18B0.pdf
1900,194F,Limbu,limbu,U1900.pdf
1950,197F,Tai Le,taile,U1950.pdf
1980,19DF,New Tai Lue,newtailue,U1980.pdf
19E0,19FF,Khmer Symbols,khmersymbols,U19E0.pdf
1A00,1A1F,Buginese,buginese,U1A00.pdf
1A20,1AAF,Tai Tham,taitham,U1A20.pdf
1AB0,1AFF,Combining Diacritical Marks Extended,combiningdiacriticalmarksextended,U1AB0.pdf
1B00,1B7F,Balinese,balinese,U1B00.pdf
1B80,1BBF,Sundanese,sundanese,U1B80.pdf
1BC0,1BFF,Batak,batak,U1BC0.pdf
1C00,1C4F,Lepcha,lepcha,U1C00.pdf
1C50,1C7F,Ol Chiki,olchiki,U1C50.pdf
1C80,1C8F,Cyrillic Extended-C,cyrillicextendedc,U1C80.pdf
1CC0,1CCF,Sundanese Supplement,sundanesesupplement,U1CC0.pdf
1CD0,1CFF,Vedic Extensions,vedicextensions,U1CD0.pdf
1D00,1D7F,Phonetic Extensions,phoneticextensions,U1D00.pdf
1D80,1DBF,Phonetic Extensions Supplement,phoneticextensionssupplement,U1D80.pdf
1DC0,1DFF,Combining Diacritical Marks Supplement,combiningdiacriticalmarkssupplement,U1DC0.pdf
1E00,1EFF,Latin Extended Additional,latinextendedadditional,U1E00.pdf
1F00,1FFF,Greek Extended,greekextended,U1F00.pdf
2000,206F,General Punctuation,generalpunctuation,U2000.pdf
2070,209F,Superscripts and Subscripts,superscriptsandsubscripts,U2070.pdf
20A0,20CF,Currency Symbols,currencysymbols,U20A0.pdf
20D0,20FF,Combining Diacritical Marks for Symbols,combiningdiacriticalmarksforsymbols,U20D0.pdf
2100,214F,Letterlike Symbols,letterlikesymbols,U2100.pdf
2150,218F,Number Forms,numberforms,U2150.pdf
2190,21FF,Arrows,arrows,U2190.pdf
2200,22FF,Mathematical Operators,mathematicaloperators,U2200.pdf
2300,23FF,Miscellaneous Technical,miscellaneoustechnical,U2300.pdf
2400,243F,Control Pictures,controlpictures,U2400.pdf
2440,245F,Optical Character Recognition,opticalcharacterrecognition,U2440.pdf
2460,24FF,Enclosed Alphanumerics,enclosedalphanumerics,U2460.pdf
2500,257F,Box Drawing,boxdrawing,U2500.pdf
2580,259F,Block Elements,blockelements,U2580.pdf
25A0,25FF,Geometric Shapes,geometricshapes,U25A0.pdf
2600,26FF,Miscellaneous Symbols,miscellaneoussymbols,U2600.pdf
2700,27BF,Dingbats,dingbats,U2700.pdf
27C0,27EF,Miscellaneous Mathematical Symbols-A,miscellaneousmathematicalsymbolsa,U27C0.pdf
27F0,27FF,Supplemental Arrows-A,supplementalarrowsa,U27F0.pdf
2800,28FF,Braille Patterns,braillepatterns,U2800.pdf
2900,297F,Supplemental Arrows-B,supplementalarrowsb,U2900.pdf
2980,29FF,Miscellaneous Mathematical Symbols-B,miscellaneousmathematicalsymbolsb,U2980.pdf
2A00,2AFF,Supplemental Mathematical Operators,supplementalmathematicaloperators,U2A00.pdf
2B00,2BFF,Miscellaneous Symbols and Arrows,miscellaneoussymbolsandarrows,U2B00.pdf
